roundID,01JWBYFE620JFGXNYV478VBSRX,01JWBYGVGP7BVNBNV16F89DM5Z,01JWBYFPPW45DGY3EK9G2K0QW0,01JWBYGA9KCMA4F9SEPFZXK4Z5,01JWBYJG4K0Q8K39KAHPCG6ZGT,01JWBYJH89QWDPM329M9D46S7Z,01JWBYKCMZ7CTBB028D6ZWR40P,01JWBYFSJ01MDZ3R21Q700YHVF,01JWBYJ34P6GXTWXFR2D1PMD12,01JWBYFMWCDR0KH95ZSTBYG6H4
01JWBYN1XJK0PXVDPHV6C2X04D,Orange,Orange,Amber,Sky Blue,Crimson,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XKXR3CWHFVNWARFM1N,Bright Green,Orange,Amber,Sky Blue,Bright Green,Crimson,Amber,Purple,Indigo,Amber
01JWBYN1XJK0PXVDPHVV3YMFJA,Amber,Orange,Amber,Sky Blue,Slate,Crimson,Amber,Purple,Indigo,Amber
01JWBYN1XRDG73CGC7AK1394K8,Bright Green,Orange,Purple,Sky Blue,Pink,Crimson,Amber,Purple,Indigo,Amber
01JWBYN1XKXR3CWHFVPK10YCQW,Bright Green,Orange,Purple,Sky Blue,Black,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XRDG73CGC79F2H5DKS,Bright Green,Orange,Purple,Sky Blue,Sky Blue,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XV4BGSJ5FEXRZ20WMV,Bright Green,Orange,Purple,Sky Blue,Amber,Slate,Amber,Purple,Indigo,Amber
01JWBYN1XQG60R7KX4FEZA8J0V,Sky Blue,Orange,Purple,Sky Blue,Crimson,Amber,Amber,Purple,Indigo,Amber
01JWBYN1XH4PE3Q7PM9VQXCX47,Sky Blue,Orange,Purple,Sky Blue,Slate,Amber,Amber,Purple,Indigo,Amber
01JWBYN1XSHVS1YW89P3KNQPT4,Indigo,Orange,Purple,Sky Blue,Pink,Amber,Amber,Purple,Indigo,Amber
01JWBYN1XH4PE3Q7PMA8EM4KTD,Indigo,Orange,Purple,Sky Blue,Orange,Amber,Amber,Purple,Indigo,Amber
01JWBYN1XV4BGSJ5FEX3WT8AW8,Purple,Orange,Purple,Sky Blue,Indigo,Pink,Amber,Purple,Indigo,Amber
01JWBYN1X9C8Y900FQTQVP76SD,Sky Blue,Orange,Sky Blue,Sky Blue,Amber,Sky Blue,Amber,Purple,Indigo,Amber
01JWBYN1XMTH2VJ9XNND2G2GG6,Sky Blue,Orange,Sky Blue,Sky Blue,Bright Green,Pink,Amber,Purple,Indigo,Amber
01JWBYN1XQG60R7KX4EW92D8CH,Sky Blue,Orange,Sky Blue,Sky Blue,Orange,Sky Blue,Amber,Purple,Indigo,Amber
01JWBYN1XKXR3CWHFVQ6DYEYY8,Sky Blue,Orange,Sky Blue,Sky Blue,Sky Blue,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XJK0PXVDPHWHR7T75Y,Indigo,Orange,Sky Blue,Sky Blue,Black,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XRDG73CGC79XCR772P,Indigo,Orange,Sky Blue,Sky Blue,Slate,Orange,Amber,Purple,Indigo,Amber
01JWBYN1XW1N8X9NE3KW7WG3SW,Indigo,Orange,Sky Blue,Sky Blue,Orange,Indigo,Amber,Purple,Indigo,Amber
01JWBYN1XW1N8X9NE3K91TA6E9,Indigo,Orange,Sky Blue,Sky Blue,Crimson,Sky Blue,Amber,Purple,Indigo,Amber
01JWBYN1XQG60R7KX4DYG871TS,Indigo,Orange,Sky Blue,Sky Blue,Crimson,Pink,Amber,Purple,Indigo,Amber
01JWBYN1XQG60R7KX4EFYFPG8W,,,,,,,,,,
