Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
36,Orange,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
37,Sky Blue,1.0,Orange,0.0,Sky Blue,Sky Blue,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
38,Orange,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
39,Orange,1.0,Orange,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
40,Sky Blue,1.0,Orange,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
41,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
42,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
43,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
44,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
45,Slate,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
46,Sky Blue,1.0,Slate,1.0,Crimson,Sky Blue,Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
47,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
48,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
49,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
50,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
51,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
52,,,Sky Blue,1.0,Sky Blue,Sky Blue,N/A,N/A,N/A+N/A
