roundID,01JVTR9QD0KS2SPX7QDY0N8AX9,01JVTRC4KZKV9QDS72D4E9B4N9,01JVTRHRM8FSZ0DF5N0TYB06YD,01JVTRCE9Y9SR72Y626JN9Z02V,01JVTRE4R10CMZ58FNZBA0F8SK,01JVTRJ3HRK6JKTBT2Y7JNDGFQ,01JVTRAV3J92CQV9NS03SPXKSA,01JVTRAJAADTMDBY98SF5BTZYA,01JVTRA85X3DQ0TYNXS6VDR197,01JVTRAF0HXMZCY9NBDR1R33B5
01JVTRJVCF7P0ZTH5F9V98PPDA,Sky Blue,Pink,Orange,Indigo,Purple,Black,Sky Blue,Purple,Slate,Amber
01JVTRJVCF7P0ZTH5FAEREQT7A,Sky Blue,Indigo,Orange,Indigo,Purple,Indigo,Sky Blue,Purple,Indigo,Amber
01JVTRJVCF7P0ZTH5FB1WQ5R7W,Crimson,Bright Green,Orange,Indigo,Purple,Pink,Pink,Purple,Slate,Black
01JVTRJVCGAHH5EYGMV7PD50PN,Sky Blue,Orange,Orange,Indigo,Purple,Amber,Indigo,Purple,Purple,Black
01JVTRJVCGAHH5EYGMVWGYPZ5D,Sky Blue,Orange,,Indigo,Purple,Orange,Slate,Purple,Black,Indigo
01JVTRJVCGAHH5EYGMWEYHYYSP,Crimson,Orange,Orange,Indigo,Purple,Crimson,Black,Purple,Purple,Pink
01JVTRJVCHJZBY6Z6CJMDVNARA,Bright Green,Amber,Orange,Indigo,Purple,Black,Black,Purple,Bright Green,Pink
01JVTRJVCHJZBY6Z6CKDPRM9G0,Sky Blue,Orange,Orange,Indigo,Amber,Black,Black,Purple,Slate,Pink
01JVTRJVCHJZBY6Z6CM9GDCEA9,Sky Blue,Pink,Orange,Indigo,Amber,Purple,Black,Purple,Bright Green,Pink
01JVTRJVCJQN1MPAKBWFQ4ZYFK,Sky Blue,Pink,Orange,Indigo,Amber,Bright Green,Sky Blue,Purple,Slate,Pink
01JVTRJVCJQN1MPAKBX64H35XS,Bright Green,Pink,Orange,Indigo,Amber,Pink,Crimson,Purple,Amber,Slate
01JVTRJVCJQN1MPAKBXTPZMQXS,Sky Blue,Pink,Orange,Indigo,Amber,Pink,Purple,Purple,Orange,Slate
01JVTRJVCJQN1MPAKBYCAE2YPG,Sky Blue,Pink,Orange,Indigo,Amber,Pink,Purple,Purple,Purple,Purple
01JVTRJVCK7JVHM7CDJZDBQH8G,Sky Blue,Pink,Orange,Indigo,Amber,Pink,Purple,Purple,Slate,Purple
01JVTRJVCK7JVHM7CDKHVHZD4K,Bright Green,Pink,Orange,Indigo,Amber,Pink,Purple,Purple,Bright Green,Purple
01JVTRJVCMPCS2EB53BE7YTKT4,Sky Blue,Pink,Orange,Indigo,Slate,Bright Green,Purple,Purple,Amber,Purple
01JVTRJVCNP8KJ839NCV6FE392,Sky Blue,Pink,Orange,Indigo,Slate,Bright Green,Purple,Purple,Bright Green,Purple
01JVTRJVCSHWPE2B6CNN4HZ9GT,Sky Blue,Pink,Orange,Indigo,Slate,Amber,Purple,Purple,Bright Green,Purple
01JVTRJVCTNA0AGJQNZGADMCAX,Crimson,Pink,Orange,Indigo,Slate,Amber,Purple,Purple,Bright Green,Purple
01JVTRJVCTNA0AGJQP04VJR5B6,Bright Green,Pink,Orange,Indigo,Slate,Amber,Purple,Purple,Bright Green,Purple
01JVTRJVCTNA0AGJQP0M05KJHE,Sky Blue,Pink,Orange,Indigo,Slate,Amber,Sky Blue,Purple,Bright Green,Purple
01JVTRJVCVABFB68Z52WBPS3T6,Bright Green,Pink,Orange,Indigo,Slate,Amber,Purple,Purple,Bright Green,Purple
01JVTRJVCVABFB68Z53H4RTRNK,Bright Green,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Slate,Purple
01JVTRJVCVABFB68Z541TTA5X2,Bright Green,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Slate,Purple
01JVTRJVCW5AV3T9FPF7Y3FAR0,Bright Green,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Slate,Bright Green
01JVTRJVCW5AV3T9FPG3327EK9,Bright Green,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Bright Green,Bright Green
01JVTRJVCXDPV7QCNV3FC0YXP9,Sky Blue,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Slate,Bright Green
01JVTRJVCXDPV7QCNV3SFJ6FTP,Sky Blue,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Amber,Bright Green
01JVTRJVCY5S0S18T5PCGJJ18F,Sky Blue,Pink,Orange,Indigo,Orange,Purple,Purple,Purple,Amber,Bright Green
01JVTRJVCZ7F7K2P9ZGKHAK23D,,,,,,,,,,
